Date,daily runoff
2019-01-01,0.46152878
2019-01-02,0.45256627
2019-01-03,0.44135004
2019-01-04,0.43961072
2019-01-05,0.44861814
2019-01-06,0.45057914
2019-01-07,0.45855424
2019-01-08,0.46811706
2019-01-09,0.46731922
2019-01-10,0.46438935
2019-01-11,0.4708912
2019-01-12,0.4879163
2019-01-13,0.4974865
2019-01-14,0.51247555
2019-01-15,0.5282737
2019-01-16,0.5327583
2019-01-17,0.5339978
2019-01-18,0.5434152
2019-01-19,0.5619857
2019-01-20,0.5716432
2019-01-21,0.5852054
2019-01-22,0.5980414
2019-01-23,0.5980436
2019-01-24,0.59333295
2019-01-25,0.59542155
2019-01-26,0.6054093
2019-01-27,0.6053877
2019-01-28,0.6083615
2019-01-29,0.6099118
2019-01-30,0.59816307
2019-01-31,0.581482
2019-02-01,0.5716344
2019-02-02,0.5699744
2019-02-03,0.5588421
2019-02-04,0.55147845
2019-02-05,0.5436816
2019-02-06,0.52376837
2019-02-07,0.5002679
2019-02-08,0.4850739
2019-02-09,0.47963092
2019-02-10,0.4663292
2019-02-11,0.45841876
2019-02-12,0.45166588
2019-02-13,0.43431556
2019-02-14,0.41478792
2019-02-15,0.4048339
2019-02-16,0.40572613
2019-02-17,0.39965928
2019-02-18,0.3996701
2019-02-19,0.40130067
2019-02-20,0.39256778
2019-02-21,0.3816664
2019-02-22,0.38013193
2019-02-23,0.38903788
2019-02-24,0.39040214
2019-02-25,0.39711198
2019-02-26,0.40459174
2019-02-27,0.40077528
2019-02-28,0.39381152
2019-03-01,0.39522755
2019-03-02,0.40612566
2019-03-03,0.408588
2019-03-04,0.4155986
2019-03-05,0.42270726
2019-03-06,0.41799673
2019-03-07,0.40978238
2019-03-08,0.40976942
2019-03-09,0.41924247
2019-03-10,0.4204636
2019-03-11,0.42658734
2019-03-12,0.43331784
2019-03-13,0.42887
2019-03-14,0.42166373
2019-03-15,0.4234766
2019-03-16,0.43563026
2019-03-17,0.44038615
2019-03-18,0.4508597
2019-03-19,0.46267805
2019-03-20,0.46394295
2019-03-21,0.46292838
2019-03-22,0.4712374
2019-03-23,0.48999438
2019-03-24,0.5012468
2019-03-25,0.5178871
2019-03-26,0.53531766
2019-03-27,0.5414219
2019-03-28,0.5442698
2019-03-29,0.5552825
2019-03-30,0.57543135
2019-03-31,0.5866463
2019-04-01,0.6017432
2019-04-02,0.6160924
2019-04-03,0.6175929
2019-04-04,0.614379
2019-04-05,0.6179842
2019-04-06,0.6295387
2019-04-07,0.6311739
2019-04-08,0.6359442
2019-04-09,0.6394897
2019-04-10,0.6300024
2019-04-11,0.61592376
2019-04-12,0.60909975
2019-04-13,0.61096793
