Date,flood runoff
2019-01-01,0.13936593
2019-01-02,0.12177318
2019-01-03,0.12149231
2019-01-04,0.113130055
2019-01-05,0.14562328
2019-01-06,0.0834643
2019-01-07,0.13225201
2019-01-08,0.11210313
2019-01-09,0.09597688
2019-01-10,0.09803497
2019-01-11,0.092791565
2019-01-12,0.12906845
2019-01-13,0.071224205
2019-01-14,0.12470994
2019-01-15,0.10948514
2019-01-16,0.09834749
2019-01-17,0.10529778
2019-01-18,0.10469492
2019-01-19,0.14521573
2019-01-20,0.0910885
2019-01-21,0.14765246
2019-01-22,0.1347769
2019-01-23,0.12519345
2019-01-24,0.13286267
2019-01-25,0.13213001
2019-01-26,0.17168565
2019-01-27,0.11579735
2019-01-28,0.16986832
2019-01-29,0.1538541
2019-01-30,0.14059186
2019-01-31,0.14416356
2019-02-01,0.13904792
2019-02-02,0.17407596
2019-02-03,0.11365939
2019-02-04,0.16334404
2019-02-05,0.14322224
2019-02-06,0.12625791
2019-02-07,0.12664591
2019-02-08,0.11896054
2019-02-09,0.15210837
2019-02-10,0.090554334
2019-02-11,0.13987373
2019-02-12,0.12016385
2019-02-13,0.10436916
2019-02-14,0.10664138
2019-02-15,0.10148957
2019-02-16,0.13773507
2019-02-17,0.07974054
2019-02-18,0.1329651
2019-02-19,0.11737984
2019-02-20,0.105796926
2019-02-21,0.11223384
2019-02-22,0.11106777
2019-02-23,0.15099461
2019-02-24,0.09626183
2019-02-25,0.1522273
2019-02-26,0.1387778
2019-02-27,0.12866072
2019-02-28,0.13585025
2019-03-01,0.13470298
2019-03-02,0.1739175
2019-03-03,0.11776704
2019-03-04,0.17165746
2019-03-05,0.1555441
2019-03-06,0.14226127
2019-03-07,0.14588569
2019-03-08,0.14088878
2019-03-09,0.1760926
2019-03-10,0.11589869
2019-03-11,0.16584183
2019-03-12,0.14600302
2019-03-13,0.12933497
2019-03-14,0.1300217
2019-03-15,0.122627735
2019-03-16,0.15605089
2019-03-17,0.09474887
2019-03-18,0.14429131
2019-03-19,0.12477156
2019-03-20,0.109131895
2019-03-21,0.1115235
2019-03-22,0.106456496
2019-03-23,0.14275469
2019-03-24,0.084784314
2019-03-25,0.138009
2019-03-26,0.12240488
2019-03-27,0.110789515
2019-03-28,0.11718572
2019-03-29,0.115975656
2019-03-30,0.15585957
2019-03-31,0.101088546
2019-04-01,0.15702292
2019-04-02,0.14355089
2019-04-03,0.13341999
2019-04-04,0.14060332
2019-04-05,0.13945529
2019-04-06,0.1786712
2019-04-07,0.122520275
2019-04-08,0.17640361
2019-04-09,0.16027154
2019-04-10,0.14695331
2019-04-11,0.15052088
2019-04-12,0.14544149
2019-04-13,0.18053398
2019-04-14,0.12019782
2019-04-15,0.16996723
2019-04-16,0.14992425
2019-04-17,0.13302435
2019-04-18,0.13345627
2019-04-19,0.12579092
2019-04-20,0.15893427
2019-04-21,0.097353674
2019-04-22,0.14662972
2019-04-23,0.12686759
2019-04-24,0.11102196
2019-04-25,0.1132565
2019-04-26,0.108093366
2019-04-27,0.14436752
2019-04-28,0.086454876
2019-04-29,0.13982685
2019-04-30,0.124464914
2019-05-01,0.11318906
2019-05-02,0.120021366
2019-05-03,0.11933971
2019-05-04,0.15983641
2019-05-05,0.10575074
2019-05-06,0.16242756
2019-05-07,0.14973588
2019-05-08,0.1404008
