Date,flood runoff
2019-01-01,0.046009243
2019-01-02,0.056461047
2019-01-03,0.022524126
2019-01-04,0.0054828213
2019-01-05,0.026968392
2019-01-06,0.0037605537
2019-01-07,0.020802235
2019-01-08,0.012477265
2019-01-09,0.011376174
2019-01-10,0.05279313
2019-01-11,0.075229615
2019-01-12,0.11084069
2019-01-13,0.08847523
2019-01-14,0.10403024
2019-01-15,0.09194883
2019-01-16,0.08494962
2019-01-17,0.11851954
2019-01-18,0.13141128
2019-01-19,0.15608175
2019-01-20,0.12172259
2019-01-21,0.12460391
2019-01-22,0.09956054
2019-01-23,0.07970911
2019-01-24,0.10092862
2019-01-25,0.10234565
2019-01-26,0.116761245
2019-01-27,0.0736709
2019-01-28,0.06959893
2019-01-29,0.03957701
2019-01-30,0.016855426
2019-01-31,0.0373796
2019-02-01,0.040273644
2019-02-02,0.058267526
2019-02-03,0.020719646
2019-02-04,0.023955788
2019-02-05,0.0027541486
2019-02-06,0.009935129
2019-02-07,0.021496214
2019-02-08,0.035808943
2019-02-09,0.065355115
2019-02-10,0.03911274
2019-02-11,0.053036813
2019-02-12,0.041556153
2019-02-13,0.03730402
2019-02-14,0.07561432
2019-02-15,0.09502465
2019-02-16,0.1277222
2019-02-17,0.102583475
2019-02-18,0.11552856
2019-02-19,0.101019
2019-02-20,0.09178725
2019-02-21,0.12332968
2019-02-22,0.13440438
2019-02-23,0.15746987
2019-02-24,0.12171621
2019-02-25,0.123409145
2019-02-26,0.0973768
2019-02-27,0.07672744
2019-02-28,0.09733033
2019-03-01,0.098301485
2019-03-02,0.1124309
2019-03-03,0.06920286
2019-03-04,0.06513053
2019-03-05,0.035234623
2019-03-06,0.012754729
2019-03-07,0.033625834
2019-03-08,0.036961768
2019-03-09,0.055482242
2019-03-10,0.018535249
2019-03-11,0.022435796
2019-03-12,0.0019507392
2019-03-13,0.009981896
2019-03-14,0.022233117
2019-03-15,0.03734247
2019-03-16,0.067683086
2019-03-17,0.042216804
2019-03-18,0.056881566
2019-03-19,0.046088465
2019-03-20,0.042452708
2019-03-21,0.08129021
2019-03-22,0.10112119
2019-03-23,0.13411653
2019-03-24,0.10913823
2019-03-25,0.12209426
2019-03-26,0.10743702
2019-03-27,0.097893484
2019-03-28,0.1289587
2019-03-29,0.13939407
2019-03-30,0.16166638
2019-03-31,0.12497916
2019-04-01,0.12561683
2019-04-02,0.09843132
2019-04-03,0.076559395
2019-04-04,0.095903106
2019-04-05,0.09561482
2019-04-06,0.10852346
2019-04-07,0.06415384
2019-04-08,0.059060063
2019-04-09,0.028302798
2019-04-10,0.005159293
2019-04-11,0.025598446
2019-04-12,0.02876286
2019-04-13,0.047394548
2019-04-14,0.0108560985
2019-04-15,0.015468356
